Character,Chapter
Clevinger,12.764777082913053
Clevinger,12.786160984466411
Clevinger,12.799677224127496
Clevinger,12.810772644744805
Clevinger,12.829332257413759
Clevinger,12.832761751059108
Clevinger,12.843050231995159
Clevinger,17.106077348066297
Clevinger,17.586519337016576
Clevinger,17.59182320441989
Clevinger,17.609723756906078
Clevinger,17.62585635359116
Clevinger,17.631160220994474
Clevinger,22.134631386253954
Clevinger,30.773074253990284
Clevinger,30.776312745778394
Clevinger,30.793893129770993
Clevinger,32.05558107487368
Clevinger,41.505647680845954
Clevinger,42.66828444819582
Corporal Whitcomb,20.268978898860052
Corporal Whitcomb,20.269949066213922
Corporal Whitcomb,20.355081251515887
Corporal Whitcomb,20.40650012127092
Corporal Whitcomb,20.41207858355566
Corporal Whitcomb,20.426873635702158
Corporal Whitcomb,20.437545476594714
Corporal Whitcomb,20.450885277710405
Corporal Whitcomb,20.4826582585496
Corporal Whitcomb,20.495755517826826
Corporal Whitcomb,20.49939364540383
Corporal Whitcomb,20.503516856657775
Corporal Whitcomb,20.50618481688091
Corporal Whitcomb,20.521950036381277
Corporal Whitcomb,20.53674508852777
Corporal Whitcomb,20.555663351928207
Corporal Whitcomb,20.56730536017463
Corporal Whitcomb,20.60950764006791
Corporal Whitcomb,20.615328644191123
Corporal Whitcomb,20.70094591317002
Corporal Whitcomb,20.72228959495513
Corporal Whitcomb,20.73587193790929
Corporal Whitcomb,20.75212224108659
Corporal Whitcomb,20.75891341256367
Corporal Whitcomb,20.792626728110598
Corporal Whitcomb,20.80111569245695
Corporal Whitcomb,20.81445549357264
Corporal Whitcomb,20.845743390734903
Corporal Whitcomb,20.869755032743146
Corporal Whitcomb,20.87557603686636
Corporal Whitcomb,20.916080523890372
Corporal Whitcomb,20.925297113752123
Corporal Whitcomb,20.94736842105263
Corporal Whitcomb,20.95755517826825
Corporal Whitcomb,20.963133640552996
Corporal Whitcomb,25.19987684729064
Corporal Whitcomb,25.317487684729063
Corporal Whitcomb,25.320935960591132
Corporal Whitcomb,25.32844827586207
Corporal Whitcomb,25.433990147783252
Corporal Whitcomb,25.442487684729063
Corporal Whitcomb,25.45258620689655
Corporal Whitcomb,25.4570197044335
Corporal Whitcomb,25.46785714285714
Corporal Whitcomb,25.4743842364532
Corporal Whitcomb,25.66268472906404
Corporal Whitcomb,25.667364532019704
Corporal Whitcomb,25.6679802955665
Corporal Whitcomb,25.674261083743843
Corporal Whitcomb,25.67463054187192
Corporal Whitcomb,25.678571428571427
Corporal Whitcomb,25.68805418719212
Corporal Whitcomb,25.691871921182265
Corporal Whitcomb,25.705418719211824
Corporal Whitcomb,25.7128078817734
Corporal Whitcomb,25.72229064039409
Corporal Whitcomb,25.723768472906404
Corporal Whitcomb,25.7256157635468
Corporal Whitcomb,25.731896551724137
Corporal Whitcomb,25.735344827586207
Corporal Whitcomb,25.74100985221675
Corporal Whitcomb,25.752586206896552
Corporal Whitcomb,25.760837438423646
Corporal Whitcomb,25.766379310344828
Corporal Whitcomb,25.816133004926108
Corporal Whitcomb,25.83399014778325
Corporal Whitcomb,29.00237786424557
Corporal Whitcomb,36.07039934129271
Corporal Whitcomb,36.07801564429806
Corporal Whitcomb,36.08522025524908
Corporal Whitcomb,36.17291066282421
Corporal Whitcomb,36.58233841086867
Corporal Whitcomb,36.588102099629474
Corporal Whitcomb,36.61939069575957
Corporal Whitcomb,36.69925895430218
Corporal Whitcomb,41.30112953616919
Corporal Whitcomb,42.94197087993248
Corporal Whitcomb,42.9453471196455
Nurse Duckett,1.0286659316427784
Nurse Duckett,1.0452039691289967
Nurse Duckett,5.0132648694908
Nurse Duckett,17.193370165745858
Nurse Duckett,17.34453038674033
Nurse Duckett,17.434475138121545
Nurse Duckett,17.65038674033149
Nurse Duckett,26.95963787250094
Nurse Duckett,26.9815164089023
Nurse Duckett,26.995473406261787
Nurse Duckett,27.000650477016478
Nurse Duckett,27.029488291413703
Nurse Duckett,27.04683434518647
Nurse Duckett,27.05247181266262
Nurse Duckett,27.071335646140504
Nurse Duckett,27.101040763226365
Nurse Duckett,27.10277536860364
Nurse Duckett,27.457068516912404
Nurse Duckett,27.462055507372074
