Word,Time,POS
take,41.1098293679404,V
hope,41.11055034847392,V
bastard,41.11103100216294,N
die,41.111511655851956,V
cant,41.11199230954097,V
treat,41.112232636385485,ADJ
admit,41.11319394376352,V
clerk,41.11391492429704,N
played,41.11463590483057,VN
dead,41.114876231675076,ADJ
eyes,41.115597212208606,N
shut,41.11583753905311,VD
clerk,41.11655851958664,N
admitted,41.116798846431145,VD
shuffling,41.117519826964674,VG
papers,41.11800048065369,N
rolled,41.11920211487623,VN
away,41.11944244172074,ADV
slowly,41.11968276856525,ADV
stuffy,41.12040374909878,ADJ
heart,41.15525114155251,N
ill,41.15549146839702,N
bet,41.15573179524153,N
nickel,41.15645277577505,N
liver,41.157414083153085,N
going,41.1578947368421,VG
operate,41.15837539053112,V
find,41.15885604422014,V
wash,41.15981735159817,N
hands,41.16029800528719,N
first,41.1605383321317,ADV
operations,41.16101898582072,N
opening,41.16173996635424,VG
eyes,41.16222062004326,N
trying,41.162701273732274,VG
sit,41.16318192742129,V
another,41.16366258111031,DET
county,41.16390290795482,N
heard,41.164143234799326,N
scoffed,41.16462388848834,VN
one,41.164864215332855,NUM
doctors,41.16558519586638,N
indignantly,41.16582552271089,ADV
cant,41.166065849555395,ADJ
make,41.16654650324441,V
shut,41.16702715693343,VD
could,41.16774813746696,MOD
give,41.16798846431146,V
total,41.16870944484499,N
ethers,41.169190098534,N
right,41.169430425378515,ADV
totals,41.17015140591204,N
another,41.170872386445566,DET
county,41.17111271329007,N
heard,41.17135304013458,N
doctor,41.17231434751262,N
lets,41.17255467435712,N
give,41.172795001201635,V
total,41.17351598173516,N
knock,41.173996635424174,N
want,41.176159577024755,V
gave,41.17712088440279,V
total,41.17760153809181,N
anesthesia,41.17784186493631,N
knocked,41.17832251862533,VD
woke,41.17928382600336,VD
thirsty,41.17976447969238,N
private,41.18048546022591,ADJ
room,41.180725787070415,N
drowning,41.18096611391493,VG
ether,41.181446767603944,N
fumes,41.18168709444845,N
colonel,41.18192742129296,V
bedside,41.18336938236001,N
