Location,Time,Lat,Lon
ferrara,2.6679087098276666,44.8367971,11.6198107
ferrara,6.465008675534992,44.8367971,11.6198107
ferrara,6.472816657027184,44.8367971,11.6198107
ferrara,6.50694042799306,44.8367971,11.6198107
ferrara,9.89400871459695,44.8367971,11.6198107
ferrara,10.31887282165369,44.8367971,11.6198107
ferrara,12.574742787976598,44.8367971,11.6198107
ferrara,13.677777777777777,44.8367971,11.6198107
ferrara,21.040803315269365,44.8367971,11.6198107
ferrara,21.041919030921264,44.8367971,11.6198107
ferrara,21.249760918074593,44.8367971,11.6198107
ferrara,21.26219317819573,44.8367971,11.6198107
ferrara,21.331048772712784,44.8367971,11.6198107
ferrara,26.359486986043002,44.8367971,11.6198107
ferrara,29.816255944660615,44.8367971,11.6198107
ferrara,38.65649009300445,44.8367971,11.6198107
ferrara,38.88940558026688,44.8367971,11.6198107
ferrara,39.08381153729991,44.8367971,11.6198107
ferrara,40.12722256284488,44.8367971,11.6198107
ferrara,40.72133660331085,44.8367971,11.6198107
ferrara,42.15235281705001,44.8367971,11.6198107
ferrara,42.16016037138637,44.8367971,11.6198107
istanbul,22.277250790480945,41.0096334,28.9651646
istanbul,22.98202695956066,41.0096334,28.9651646
leghorn,26.372312334967937,43.5426309,10.3160295
majorca,28.31342693296421,39.6594496,2.986239
majorca,28.314811152857427,39.6594496,2.986239
malta,7.994760969220694,35.8987546,14.5134889
malta,13.453508771929824,35.8987546,14.5134889
malta,13.456140350877194,35.8987546,14.5134889
malta,13.601169590643275,35.8987546,14.5134889
malta,22.36511898818439,35.8987546,14.5134889
malta,22.392910634048928,35.8987546,14.5134889
malta,22.401897154268596,35.8987546,14.5134889
malta,22.417873190214678,35.8987546,14.5134889
malta,22.427026127475454,35.8987546,14.5134889
malta,22.46014311865535,35.8987546,14.5134889
malta,22.46147445498419,35.8987546,14.5134889
malta,22.463305042436346,35.8987546,14.5134889
malta,22.469628889998337,35.8987546,14.5134889
malta,22.473955733067065,35.8987546,14.5134889
malta,22.47545348643701,35.8987546,14.5134889
malta,22.489765351972043,35.8987546,14.5134889
malta,22.53519720419371,35.8987546,14.5134889
malta,22.536362123481446,35.8987546,14.5134889
malta,22.699450823764355,35.8987546,14.5134889
malta,22.835579963388252,35.8987546,14.5134889
malta,22.83857547012814,35.8987546,14.5134889
malta,22.840073223498088,35.8987546,14.5134889
malta,22.853719420868696,35.8987546,14.5134889
malta,24.094834232845027,35.8987546,14.5134889
marrakech,6.269230769230769,31.6267337,-7.9883921
marrakech,17.503204419889503,31.6267337,-7.9883921
marrakech,17.62342541436464,31.6267337,-7.9883921
marseilles,28.10974886296223,47.0706778,3.0029271
oran,22.874854385089034,35.6970213,-0.6330128
oran,22.889831918788484,35.6970213,-0.6330128
oran,22.89199534032285,35.6970213,-0.6330128
palermo,22.535030787152603,38.111051,13.335745
palermo,22.536861374604758,38.111051,13.335745
palermo,22.537693459810285,38.111051,13.335745
palermo,22.539024796139124,38.111051,13.335745
palermo,22.58978199367615,38.111051,13.335745
palermo,22.59061407888168,38.111051,13.335745
palermo,22.62988850058246,38.111051,13.335745
palermo,22.686636711599267,38.111051,13.335745
parma,5.637997432605905,44.8011232,10.3285084
parma,10.014089729328884,44.8011232,10.3285084
parma,26.36703130894002,44.8011232,10.3285084
pianosa,1.8715545755237044,42.5874022,10.0990473
pianosa,2.2370749883558454,42.5874022,10.0990473
pianosa,2.4555193292966933,42.5874022,10.0990473
pianosa,5.107188703465982,42.5874022,10.0990473
pianosa,6.932909196067091,42.5874022,10.0990473
pianosa,7.998690242305173,42.5874022,10.0990473
pianosa,9.035294117647059,42.5874022,10.0990473
pianosa,9.296949891067538,42.5874022,10.0990473
pianosa,9.49912854030501,42.5874022,10.0990473
pianosa,10.271412680756397,42.5874022,10.0990473
pianosa,10.307749351130886,42.5874022,10.0990473
